"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.26,1,"NA","NA",0.252,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-3.08,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"2","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.312,1,"NA","NA",0.284,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-8.97,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"3","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.253,1,"NA","NA",0.253,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,0,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"4","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.293,1,"NA","NA",0.272,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-7.17,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"5","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.226,1,"NA","NA",0.267,"0.04","1","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,18.14,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"6","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.267,1,"NA","NA",0.3,"0.05","1","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,12.36,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"7","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.241,1,"NA","NA",0.27,"0.02","1","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,12.03,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"8","Cover Crops",23,"2012-1","1","2","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.28,1,"NA","NA",0.3,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,7.14,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"9","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.222,1,"NA","NA",0.222,"ns","0","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,0,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"10","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content at cash crop emergence, 20 cm depth","20 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.225,1,"NA","NA",0.262,"0.03","1","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,16.44,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
"11","Cover Crops",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Moisture Content","soil water content before planting of cash crop, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.262,1,"NA","NA",0.288,"0.02","1","mono","no winter cover crop","no winter cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,9.92,"Other Soil Properties | Abiotic Factors | Moisture Content","Dependent on other factors | dependent on other factors"
