paper_id,doi,loc_multi,soil_type,city,country,latitude,longitude,elevation,year_start,years_num,annual_precip,field_history,exp_design,exp_arrangement,reps,plot_width,plot_length,trtmt_levels,trtmt_main,trtmt_main_levels,trtmt_splitA,trtmt_splitA_levels,trtmt_splitB,trtmt_splitB_levels,trtmt_splitC,trtmt_splitC_levels
4000,10.1016/j.cropro.2020.105311,1,vertisols (black cotton soil) with clay content that is higher than 30%,"Nyangati sublocation in Mwea, Kirinyaga County",Kenya,-0.61975,37.36144,1204,2018,1,NA,NA,randomized complete block,NA,4,5,5,1,fertility,4,NA,NA,NA,NA,NA,NA
4001,10.1016/j.fcr.2020.107911,1,"sandy loam (Acrisols, Ferralsols and Nitisols)","Bondo, Siaya County",Kenya,-0.09253,34.27533,750-1200,2017,2,NA,farmer's fields,factorial design,NA,5,13,11,2,years practiced,3,crop arrangement,2,NA,NA,NA,NA
4001,10.1016/j.fcr.2020.107911,2,"loamy sand (Acrisols, Ferralsols and Nitisols)","Siaya, Siaya County",Kenya,0.05536,34.28644,1200-1800,2017,2,NA,farmer's fields,factorial design,NA,5,13,11,2,years practiced,3,crop arrangement,2,NA,NA,NA,NA
4001,10.1016/j.fcr.2020.107911,3,"loamy sand (Acrisols, Ferralsols and Nitisols)","Vihiga, Vihiga County",Kenya,0.03894,34.6932,1800-2000,2017,2,NA,farmer's fields,factorial design,NA,5,13,11,2,years practiced,3,crop arrangement,2,NA,NA,NA,NA
4002,10.1007/s10705-020-10054-0,1,Ferric Luvisol,Nyandarua,Kenya,-0.244189,36.288608,2553,2017,2,1500,NA,randomized complete block,NA,4,3,6.2,1,crop diversity,5,NA,NA,NA,NA,NA,NA
4002,10.1007/s10705-020-10054-0,2,Rhodic Ferralsol,Kirinyaga,Kenya,-0.493253,37.348692,1552,2017,2,600-1000,NA,randomized complete block,NA,4,3,6.2,1,crop diversity,5,NA,NA,NA,NA,NA,NA
4002,10.1007/s10705-020-10054-0,3,Humic Nitisol,Kabete,Kenya,-1.245833,36.738753,1854,2017,2,1100,NA,randomized complete block,NA,4,3,6.2,1,crop diversity,5,NA,NA,NA,NA,NA,NA
4003,10.1017/S174275840000401X,1,NA,"International Centre of Insect Physiology and Ecology (ICIPE), Mbita Point Field Station (MPFS) in South Nyanza",Kenya,-0.41667,34.1833,1170,1981,2,NA,research station,randomized complete block,NA,NA,21,24,1,crop diversity,8,NA,NA,NA,NA,NA,NA
4004,10.1111/j.1439-0418.1990.tb00030.x,1,"volcanic rocks of the tertiary period and recent sea deposites, mostly shallow and, because of their clay texture, poorly drained",Mbita Research Station of the International Centre of Insect Physiology and Ecology (ICIPE) and in neighbouring farmers' fields of Lake Victoria in South Nyanza distric,Kenya,-0.430323758,34.20674444,NA,1983,3,880,research station,randomized complete block,NA,4,NA,NA,1,crop diversity,4,NA,NA,NA,NA,NA,NA
4005,Unavailable,1,Inceptisols-oxic tropepts (USDA) or Ferralic cambisols (FAO),"n Kilifi District, Coast Province",Kenya,-3.83133,39.74992,15,1982,6,1287,NA,relative comparisons,NA,1,65,70,1,crop diversity,2,NA,NA,NA,NA,NA,NA
4006,10.1080/09670879109371591,1,NA,"Coast Agricultural Research Station, Mombasa",Kenya,-3.93619,39.74307,NA,1988,2,NA,research station,completely randomized block,NA,5,15,15,1,crop diversity * pesticide treatment,4,NA,NA,NA,NA,NA,NA
4007,10.1111/j.1365-3059.1993.tb01467.x,1,NA,"University of Nairobi Agriculture Field Station, Kabete",Kenya,-1.24979,36.73329,NA,1986,2,NA,research station,"multifactorial randomized complete block, perimeter of each plot planted with two rows of maize in year 1",NA,4,5,5,3,crop diversity & proportions,3,planting density,2,planting arrangement,2,NA,NA
4007,10.1111/j.1365-3059.1993.tb01467.x,2,NA,"National Horticulture Research Station, Thika",Kenya,-1.25914,36.75085,NA,1987,1,NA,research station,multifactorial randomized complete block,NA,4,5,5,2,crop diversity & proportions,3,fertility,2,NA,NA,NA,NA
4008,10.1023/A:1006288018137,1,NA,"Jina, Vihiga District",Kenya,0.08407,34.54835,NA,1995,1,1400-1800,farmer's fields,paired comparisons,NA,4,5,7,2,crop diversity,2,NA,NA,NA,NA,NA,NA
4008,10.1023/A:1006288018137,2,NA,"Marenyo, Vihiga District",Kenya,0.05813,34.53622,NA,1995,1,1400-1800,farmer's fields,paired comparisons,NA,2,5,7,2,crop diversity,2,NA,NA,NA,NA,NA,NA
4008,10.1023/A:1006288018137,3,NA,"Ebuyangu, Vihiga District",Kenya,0.08703,34.56724,NA,1995,1,1400-1800,farmer's fields,paired comparisons,NA,2,5,7,2,crop diversity,2,NA,NA,NA,NA,NA,NA
4008,10.1023/A:1006288018137,4,NA,"Nyabeda, Siaya District",Kenya,0.12885,34.40096,NA,1995,1,1400-1800,farmer's fields,paired comparisons,NA,2,5,7,2,crop diversity,2,NA,NA,NA,NA,NA,NA
