"paper_id","doi","loc_multi","soil_type","city","country","elevation","year_start","years_num","annual_precip","field_history","years_tillage_implemented","exp_design","exp_arrangement","reps","plot_width","plot_length","trtmt_levels","trtmt_main","trtmt_main_levels","trtmt_splitA","trtmt_splitA_levels","trtmt_splitB","trtmt_splitB_levels","trtmt_splitC","trtmt_splitC_levels","DESCRIPTIO"
6000,"10.1016/j.fcr.2020.107833",1,"Nitisol","Kibugu","Kenya",NA,2017,2,"875","farmer's fields",2,"one replicate randomized design on 10 farms","split plot",1,5,10,2,"tillage",2,"manure addition",2,NA,NA,NA,NA,"Maize mixed"
6000,"10.1016/j.fcr.2020.107833",2,"Cambisol","Machang’a","Kenya",NA,2017,2,"335","farmer's fields",2,"one replicate randomized design on 10 farms","split plot",1,3.5,5,2,"tillage",2,"manure addition",2,NA,NA,NA,NA,"Maize mixed"
6001,"10.1016/j.geodrs.2020.e00287",1,"Humic Nitisols","Kangutu primary school in Meru South sub-County","Kenya",NA,2016,2,"769","primary school",2,"randomized complete block",NA,4,NA,NA,1,"tillage",2,NA,NA,NA,NA,NA,NA,"Maize mixed"
6001,"10.1016/j.geodrs.2020.e00287",2,"Nitisols","Kenya Agricultural and Livestock Organization (KALRO) farm in Kandara sub-county","Kenya",NA,2016,2,"469","research farm",2,"randomized complete block",NA,4,NA,NA,1,"tillage",2,NA,NA,NA,NA,NA,NA,"Maize mixed"
6002,"10.1016/j.fcr.2020.107738",1,"Acri-Rhodic Ferrassols","Kenya Agricultural and Livestock Research Organization’s Kiboko Crops Research Station","Kenya","975",2013,4,"587","research farm",4,"randomized complete block","split split plot",3,6,7,3,"tillage",2,"crop diversity",2,"maize genotype",6,NA,NA,"Maize mixed"
6003,"10.4081/ija.2020.1381",1,"Humic Nitisols","Kangutu primary school in Meru South sub-County","Kenya",NA,2016,2,"1088","primary school",2,"randomized complete block","split plot",4,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6003,"10.4081/ija.2020.1381",2,"Nitisols","Kenya Agricultural and Livestock Organization (KALRO) farm in Kandara sub-county","Kenya",NA,2016,2,"634.5","research farm",2,"randomized complete block","split plot",4,NA,NA,2,"tillage",2,"nutrient amendment",7,NA,NA,NA,NA,"Maize mixed"
6004,"10.3389/fenvs.2019.00097",1,"Eutric Nitisol","Kenya Agricultural and Livestock Research Institute (KALRO) Kakamega in Kakamega County","Kenya","1534",2010,6,"1978","research farm",6,"randomized complete block","split split plot",3,8,10,3,"tillage",2,"crop diversity",2,"crop residues",2,NA,NA,"Maize mixed"
6004,"10.3389/fenvs.2019.00097",2,"Ferralsol","Nyabeda in Siaya County","Kenya","1420",2003,15,"1800","unspecified",15,"randomized complete block","split split plot",2,8,10,3,"tillage",2,"crop diversity",3,"crop residues",2,NA,NA,"Highland perennial"
6004,"10.3389/fenvs.2019.00097",3,"Humic Nitisols","Agricultural and Livestock Research Institute (KALRO) in Embu
County","Kenya","1420",2010,6,"1250","research farm",6,"randomized complete block","split split plot",3,8,10,3,"tillage",2,"crop diversity",2,"crop residues",3,NA,NA,"Maize mixed"
6005,"10.1016/j.agwat.2019.03.014",1,"Humic Nitisols","Chuka, Tharaka-Nithi County","Kenya",NA,2016,2,"1200 to 1400","primary school's land",2,"randomized complete block","split-plot",4,4.5,6,2,"tillage",2,"fertilizer type",7,NA,NA,NA,NA,"Maize mixed"
6005,"10.1016/j.agwat.2019.03.014",2,"Nitisols","Kandara, Murang'a County","Kenya",NA,2016,2,"900 to 1400","research farm",2,"randomized complete block","split-plot",4,4.5,4.5,2,"tillage",2,"fertilizer type",7,NA,NA,NA,NA,"Maize mixed"
